Date,yield
20/01/1986,33.25050741
21/01/1986,44.15424678
22/01/1986,45.53321363
24/01/1986,62.01936239
25/01/1986,71.56581036
26/01/1986,87.4636116
27/01/1986,96.79380618
28/01/1986,103.0414135
29/01/1986,120.2478973
31/01/1986,136.7959756
1/2/1986,153.2222299
2/2/1986,160.0406129
3/2/1986,172.5115953
4/2/1986,187.3352896
5/2/1986,198.5527955
7/2/1986,214.3692195
8/2/1986,223.033244
9/2/1986,239.7185832
10/2/1986,245.1132331
11/2/1986,254.0692316
12/2/1986,269.5303005
14/02/1986,285.4632601
15/02/1986,295.6084308
16/02/1986,299.2721668
17/02/1986,311.2858348
19/02/1986,308.7164495
20/02/1986,313.0269008
